Firma;Tier;Nº fundos auditados;CNPJ;Município;UF;Situação;Telefone;E-mail
NEXT AUDITORES INDEPENDENTES S/S LTDA.;Boutique;650;19.280.834/0001-26;Blumenau;SC;ATIVO;4732881979;
BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Rede intl;490;54.276.936/0001-79;Uberlândia;MG;ATIVO;1138485880;
GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Rede intl;414;10.830.108/0001-65;Rio De Janeiro;RJ;ATIVO;1138865100;
RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Rede intl;257;16.549.480/0001-84;Rio De Janeiro;RJ;ATIVO;1121547795;
UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES;Rede intl;229;42.170.852/0001-77;São Paulo;SP;ATIVO;2130304662;
CONFIANCE AUDITORES INDEPENDENTES;Boutique;114;05.452.311/0001-05;São Paulo;SP;ATIVO;01150965196;
YPC AUDITUN S AUDITORIA INDEPENDENTE S/S;Boutique;66;24.882.658/0001-32;São Paulo;SP;ATIVO;1138169888;
BWEL AUDITORES INDEPENDENTES SOCIEDADE SIMPLES;Boutique;63;;;;?;;
MGI ASSURANCE AUDITORES INDEPENDENTES SS;Rede intl;49;15.454.120/0001-36;Curitiba;PR;ATIVO;4130446127;
BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;Rede intl;49;18.596.945/0001-83;São Bernardo Do Campo;SP;ATIVO;1151022510;
BAKER TILLY BRASIL GO AUDITORES INDEPENDENTES S/S;Rede intl;48;24.935.493/0001-10;Goiânia;GO;ATIVO;6239983336;
RSM ACAL AUDITORES INDEPENDENTES S/S;Rede intl;44;07.377.136/0001-64;Curitiba;PR;ATIVO;2121598801;
AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S;Boutique;26;42.165.506/0001-09;Rio De Janeiro;RJ;ATIVO;2122522160;
BKR - LOPES, MACHADO AUDITORES;Rede intl;25;40.262.602/0001-31;Belo Horizonte;MG;ATIVO;2121565800;
AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA;Boutique;25;07.037.795/0001-51;Curitiba;PR;ATIVO;4730353231;
CONATUS AUDITORES INDEPENDENTES S/S;Boutique;18;28.455.792/0001-08;São Paulo;SP;ATIVO;1136273318;
SÊNIOR AUDITORES INDEPENDENTES S/S;Boutique;17;03.156.926/0001-69;Maringá;PR;ATIVO;4430261441;
FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;Rede intl;17;07.326.840/0001-98;Rio De Janeiro;RJ;ATIVO;1135244500;
NOVA MASTER AUDITORES INDEPENDENTES;Boutique;17;08.347.086/0001-35;São Paulo;SP;ATIVO;1150895900;
RAMIRES & CIA - AUDITORES  INDEPENDENTES  SOCIEDADE SIMPLES;Boutique;12;05.465.151/0001-39;Porto Alegre;RS;ATIVO;5196611136;
MCS MARKUP AUDITORES INDEPENDENTES S/S LTDA;Boutique;9;23.854.307/0001-55;Rio De Janeiro;RJ;ATIVO;2125331122;
MBAUDIT - AUDITORES INDEPENDENTES S/S;Boutique;8;03.606.521/0001-85;Porto Alegre;RS;ATIVO;5133376664;
IDEA AUDITORES INDEPENDENTES S/S;Boutique;8;07.187.085/0001-08;Goiânia;GO;ATIVO;6295500064;
ECOVIS WFA AUDITORES INDEPENDENTES S/S;Boutique;8;40.221.974/0001-10;São Paulo;SP;ATIVO;1151835422;
VENEZIANI AUDITORES INDEPENDENTES;Boutique;7;53.825.600/0001-55;São Paulo;SP;ATIVO;1131055051;
MOORE CONSULTING NEWS AUDITORES INDEPENDENTES;Rede intl;7;03.191.208/0001-23;Belo Horizonte;MG;ATIVO;3132848955;
TRS AUDITORES INDEPENDENTES;Boutique;6;;;;?;;
PEMOM AUDITORES INDEPENDENTES LTDA.;Boutique;5;;;;?;;
BAKER TILLY BRASIL RS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES;Rede intl;5;21.601.212/0001-02;Porto Alegre;RS;ATIVO;5135087734;
INFORCONT AUDITORES INDEPENDENTES;Boutique;5;09.496.375/0001-69;Rio De Janeiro;RJ;ATIVO;2122420777;
MOORE METRI AUDITORES LTDA;Rede intl;5;81.144.818/0001-80;Joinville;SC;ATIVO;4734226474;
AUDIBANCO - AUDITORES INDEPENDENTES SOCIEDADE SIMPLES;Boutique;5;64.184.922/0001-89;São Paulo;SP;ATIVO;4830257458;
RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S;Rede intl;4;13.098.174/0001-80;Barueri;SP;ATIVO;5140071219;
AUDIBRAS - AUDITORES E CONSULTORES S/S;Boutique;4;07.341.692/0001-80;Guarulhos;SP;ATIVO;1123822666;
RUHTRA S/C;Boutique;4;;;;?;;
PHD PARTNERS AUDITORES INDEPENDENTES S/S;Boutique;4;;;;?;;
PARKER RUSSELL BRASIL AUDITORES INDEPENDENTES S/S LTDA.;Boutique;3;08.903.743/0001-83;São Paulo;SP;ATIVO;1136285126;
AUDSÉRVICE AUDITORES ASSOCIADOS SOCIEDADE SIMPLES;Boutique;3;;;;?;;
BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S;Boutique;3;62.650.403/0001-33;São Paulo;SP;ATIVO;1151118888;
CONSULT - AUDITORES INDEPENDENTES;Boutique;3;77.998.276/0001-35;Cascavel;PR;ATIVO;;
ANEND AUDITORES INDEPENDENTES;Boutique;3;04.310.873/0001-51;Rio De Janeiro;RJ;ATIVO;2122420777;
PSW BRASIL AUDITORES INDEPENDENTES;Boutique;3;04.404.879/0001-98;Curitiba;PR;ATIVO;4132224001;
HLV AUDITORES - SOCIEDADE SIMPLES;Boutique;3;;;;?;;
TAG AUDITORIA E CONSULTORIA EMPRESARIAL S/S;Boutique;3;01.420.601/0001-16;Rio De Janeiro;RJ;ATIVO;2122249262;
OWL AUDITORES INDEPENDENTES S/S LIMITADA;Boutique;3;31.530.945/0001-49;Brasília;DF;ATIVO;6133222233;
VAC AUDITORES INDEPENDENTES;Boutique;2;12.865.597/0001-16;São José Dos Campos;SP;ATIVO;1130271800;
BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;Rede intl;2;13.859.935/0001-70;Rio De Janeiro;RJ;ATIVO;2135495399;
CLA - CLIFTON LARSON ALLEN BRASIL AUDITORES INDEPENDENTES S/S LTDA;Boutique;2;54.080.721/0001-88;São Paulo;SP;ATIVO;1120505320;
RONSKOSKI AUDITORES INDEPENDENTES S/S;Boutique;2;43.995.582/0001-04;São José Dos Pinhais;PR;ATIVO;3196601120;
CROWE MACRO AUDITORES INDEPENDENTES SOCIEDADE SIMPLES;Rede intl;2;22.985.155/0001-67;Osasco;SP;ATIVO;1156323733;
MOORE PRIME AUDITORES E CONSULTORES SOCIEDADE SIMPLES;Rede intl;2;07.048.269/0001-97;Porto Alegre;RS;ATIVO;5195656447;
MCO AUDITORES INDEPENDENTES;Boutique;2;28.551.814/0001-33;São Paulo;SP;ATIVO;1157804860;
CLAUDIO BIANCHESSI & ASSOC AUDITORES S/C;Boutique;2;;;;?;;
PERFORMANCE AUDITORIA E CONSULTORIA EMPRESARIAL SOCIEDADE SIMPLES;Boutique;2;;;;?;;
PREMIUMMAXX AUDITORES INDEPENDENTES LTDA;Boutique;2;07.796.259/0001-30;Rio De Janeiro;RJ;ATIVO;2135470076;
BEAUDIT INTERNATIONAL AUDITORES INDEPENDENTES;Boutique;2;;;;?;;
ÁPICE AUDITORES INDEPENDENTES S/S;Boutique;2;02.964.142/0001-02;São Paulo;SP;ATIVO;01131712727;
CONFIDOR AUDITORES ASSOCIADOS;Boutique;1;89.859.466/0001-50;Porto Alegre;RS;ATIVO;5132228933;
REIS CONSULTORIA, AUDITORIA AUDITORES INDEPENDENTES;Boutique;1;02.510.250/0001-05;Rio De Janeiro;RJ;ATIVO;2122628643;
AZEVEDO AUDITORES INDEPENDENTES S/S;Boutique;1;27.255.192/0001-33;Bauru;SP;ATIVO;1430181755;
PP&C AUDITORES INDEPENDENTES S/S;Boutique;1;67.643.825/0001-03;Rio De Janeiro;RJ;ATIVO;1138831600;
LMV AUDITORES E CONSULTORES S/S;Boutique;1;35.840.241/0001-23;Rio De Janeiro;RJ;ATIVO;2182234173;
MATTOSO AUDITORES INDEPENDENTES & ASSOCIADOS LTDA.;Boutique;1;18.692.848/0001-94;Belo Horizonte;MG;ATIVO;3196379931;
VAZ & MAIA AUDITORES INDEPENDENTES;Boutique;1;17.327.388/0001-32;Belo Horizonte;MG;ATIVO;3132731485;
MAZARS & GUÉRARD AUDITORES INDEPENDENTES;Rede intl;1;;;;?;;
BIANCHESSI & CIA  AUDITORES;Boutique;1;;;;?;;
ARTHUR ANDERSEN BIEDERMANN A I;Boutique;1;;;;?;;
NARDON, NASI - AUDITORES INDEPENDENTES S/S EPP;Boutique;1;92.838.150/0001-97;Curitiba;PR;ATIVO;;
CONTROLLER AUDITORIA E ASSESSORIA CONTÁBIL S/S;Boutique;1;23.562.663/0001-03;Fortaleza;CE;ATIVO;8532082700;
ADVISER SUL AUDITORES INDEPENDENTES;Boutique;1;05.690.064/0001-85;São Paulo;SP;ATIVO;4734332844;
MÜLLER & PREI AUDITORES INDEPENDENTES S/S;Boutique;1;12.018.605/0001-99;Curitiba;PR;ATIVO;4130789990;
AUGE CONTADORES S/S;Boutique;1;;;;?;;
AUDCORP AUDITORIA E ASSESSORIA S/S;Boutique;1;06.958.674/0001-80;Campinas;SP;ATIVO;1932954875;
BLB - AUDITORES INDEPENDENTES;Boutique;1;06.096.033/0001-63;Goiânia;GO;ATIVO;1639314930;
AASS AUDITORIA E ASSESSORIA S/S;Boutique;1;;;;?;;
RNC - RIO NOVO AUDITORES INDEPENDENTES S/S;Boutique;1;24.844.770/0001-89;São Paulo;SP;ATIVO;1135496400;
PKF AFFIANCE BRAZIL AUDITORES INDEPENDENTES LTDA;Rede intl;1;10.924.241/0001-80;Rio De Janeiro;RJ;ATIVO;1130701000;
FINAUD AUDITORES INDEPENDENTES SOCIEDADE SIMPLES;Boutique;1;20.824.537/0001-83;São Paulo;SP;ATIVO;1120996070;
MRU AUDITORES INDEPENDENTES LTDA;Boutique;1;20.361.437/0001-68;Rio De Janeiro;RJ;ATIVO;2122347374;
MARTINELLI AUDITORES;Boutique;1;79.370.466/0001-39;Recife;PE;ATIVO;4721011900;
